Id,AccountId,Email,Title,CreatedDate,IsDeleted
003_rrfygcwk2kd49a,001_x7j4v03sddvk17,2kd49a@example.com,Analyst,2024-11-10,False
003_6ifti4vp28u9bu,001_v5j384qqw2xo5s,28u9bu@example.com,Finance Manager,2025-04-14,False
003_uhm6w98b8t6n28,001_f1ujcjbj9zsepz,8t6n28@example.com,CTO,2023-10-14,False
003_m15pfk7kni5oep,001_f802refocxo162,ni5oep@example.com,CTO,2024-02-08,False
003_rtvtdhmgyky4ut,001_dru6spcv2whelp,yky4ut@example.com,VP Ops,2025-07-08,False
003_zaqjk1kuxwq7g4,001_vdb00p764noxoe,xwq7g4@example.com,VP Ops,2024-08-16,False
003_7g5vd4e47u1f97,001_lc4m438xx4tp8o,7u1f97@example.com,Director,2023-05-20,False
003_by7m8emctrqse0,001_vqfdlfjn5dmrqw,trqse0@example.com,Analyst,2024-12-06,False
003_01ckl0ppngplc9,001_bf67b7efvppv6s,ngplc9@example.com,Finance Manager,2025-09-28,False
003_lhj721jrxcn14b,001_ot34juum0zsn7n,xcn14b@example.com,Product Lead,2024-11-27,False
003_qy3l885w81jrol,001_mihow5opyzpxr5,81jrol@example.com,VP Ops,2023-01-05,False
003_f99wd5ff6xj78x,001_khyddttv788lr1,6xj78x@example.com,Head of Data,2025-01-07,False
003_o53g1qf32iyuua,001_cb9kh90b366948,2iyuua@example.com,Finance Manager,2024-08-09,False
003_f3ddf28q9o4a1z,001_uvo804wu9djdq1,9o4a1z@example.com,Product Lead,2023-09-21,False
003_ui6niahw8y19qp,001_k5oclhhjblxic6,8y19qp@example.com,Head of Data,2024-11-13,False
003_nedzdok2dg9smm,001_xymzlafsqgl5x0,dg9smm@example.com,Director,2025-05-15,False
003_fgm84s3q5lm68q,001_0qaiazvwokvh50,5lm68q@example.com,VP Ops,2025-02-16,False
003_xm7w2fmpgfzh1i,001_qng6wpe7ldt1ww,gfzh1i@example.com,VP Ops,2025-11-07,False
003_ldysfh0mlekopm,001_hgvgrne76hoxow,lekopm@example.com,Product Lead,2023-09-23,False
003_e8ltyi120j6ge5,001_6c9dqab5qqxrzk,0j6ge5@example.com,Product Lead,2023-12-21,False
003_zdheg3q5950ntm,001_ninapu5ck7qz2o,950ntm@example.com,Head of Data,2025-01-01,False
003_nq8bh4anxu97a4,001_n2ho3zgmymcpmn,xu97a4@example.com,Product Lead,2023-01-17,False
003_16cqa2i6epm9lz,001_y24swbi9wwmo3o,epm9lz@example.com,VP Ops,2024-04-23,False
003_0rfl320qgnlex1,001_z9fyda5vb7xtgj,gnlex1@example.com,Analyst,2023-03-12,False
003_3k2b8k10kuc35c,001_e6elbmac4oks43,kuc35c@example.com,VP Ops,2025-11-12,False
003_xydm4kd302itt9,001_e0cvn9szw5wan9,02itt9@example.com,Head of Data,2024-10-31,False
003_4t1r2u4cjpoqy4,001_f56ig3i4cuijis,jpoqy4@example.com,Director,2024-01-27,False
003_z4i67ghzdjkg2a,001_dp3atrgi9wnolv,djkg2a@example.com,Engineer,2023-09-15,False
003_qdfwakdwkbo1t9,001_vk5kkloraln8tr,kbo1t9@example.com,Finance Manager,2024-01-12,False
003_l8bu5knes5s5ic,001_xlo73aq07s3no8,s5s5ic@example.com,CTO,2023-11-12,False
003_jvvg4q9svifx3n,001_wjbx0l7qjojjxv,vifx3n@example.com,Product Lead,2025-01-19,False
003_6hzgc1zx3xfiqh,001_eaik4tnbe7ei8f,3xfiqh@example.com,Product Lead,2024-08-21,False
003_mbvrqrzkprql44,001_7q1hk3ijk3w8ld,prql44@example.com,Engineer,2023-08-27,False
003_jwyvd2buov3wga,001_dt9nxi2itd8k4l,ov3wga@example.com,Engineer,2024-08-20,False
003_nqg6ryve04dday,001_z3ukkf7z89kadm,04dday@example.com,Engineer,2025-12-26,False
003_vi0xqvcjfg4yr0,001_kdqg0v9w3zuyy2,fg4yr0@example.com,Director,2025-05-24,False
003_rty1zz9xo3z81n,001_g5x9dsinevpikt,o3z81n@example.com,Finance Manager,2024-04-15,False
003_c2w9u1jxq7h5le,001_ym6k6wnw343dx2,q7h5le@example.com,Product Lead,2024-11-02,False
003_1tudw98ch0sjt5,001_rtc6y00ff5vk6s,h0sjt5@example.com,Product Lead,2023-10-01,False
003_4u3v4v7j8pqblf,001_ylgns8r9fjqcwi,8pqblf@example.com,Product Lead,2024-10-20,False
003_6jl0hujhcsbooa,001_pgpyb75fyb4npu,csbooa@example.com,Director,2023-08-19,False
003_sv46ma3sk6opd5,001_lik5qfi3jqomhl,k6opd5@example.com,Engineer,2023-09-28,False
003_o278uviy8vm7mt,001_cp0it78y3g1cdb,8vm7mt@example.com,Director,2023-01-20,False
003_bvvxuplvncwkrl,001_u3wgbgn5ft3fuq,ncwkrl@example.com,Finance Manager,2024-03-23,False
003_42zil17bvo6uss,001_pgn2v1p67wi9t8,vo6uss@example.com,VP Ops,2023-10-04,False
003_90913hkda8f364,001_pd0oidd9ynoi9r,a8f364@example.com,Product Lead,2023-01-15,False
003_lra49d35br6ind,001_ip2qncwvmrwhe2,br6ind@example.com,Director,2023-03-24,False
003_mih44op9n20spi,001_vqfdlfjn5dmrqw,n20spi@example.com,Product Lead,2023-08-31,False
003_v7cefkg0s9q56l,001_9nzwzz2pcu3h2a,s9q56l@example.com,Engineer,2024-04-18,False
003_abx6nwvnbjw7v9,001_mksf3o7sxw48pp,bjw7v9@example.com,Finance Manager,2024-07-13,False
003_54c6rz3nsx1eyj,001_quv77dctleivxl,sx1eyj@example.com,Head of Data,2025-04-28,False
003_dxy3sh3uq91t5z,001_zyvpfikqlfuts5,q91t5z@example.com,Director,2024-04-28,False
003_g4eu7dhpcgchhn,001_vdb00p764noxoe,cgchhn@example.com,Director,2024-10-06,False
003_os45tx457q70eb,001_69xcv788b6wmy7,7q70eb@example.com,Analyst,2023-09-02,False
003_2o3anfx9l0agny,001_7kjrybmad5hfp7,l0agny@example.com,Finance Manager,2025-07-17,False
003_d2dwt9ey3r141m,001_ovs61okn2n1n3a,3r141m@example.com,VP Ops,2023-02-03,False
003_qwf7yh2v8vcvu2,001_pgpyb75fyb4npu,8vcvu2@example.com,Head of Data,2024-07-23,False
003_dcuz4900iz5fye,001_kpmqi2mmvvepwb,iz5fye@example.com,Head of Data,2023-07-13,False
003_r7ntfb16xfnufj,001_02ylge9r1d9elu,xfnufj@example.com,Engineer,2024-07-01,False
003_ob4prrj08jxid3,001_ovs61okn2n1n3a,8jxid3@example.com,Analyst,2023-12-11,False
003_kwvioi9o9dw4s6,001_0vj5t15hywejl7,9dw4s6@example.com,CTO,2023-04-09,False
003_445l1nnw6ofn3y,001_7kjrybmad5hfp7,6ofn3y@example.com,Engineer,2024-01-13,False
003_25j45pfxuou0km,001_hl746fp4fsx6lk,uou0km@example.com,Finance Manager,2024-03-26,False
003_dq78ae2r3q79te,001_jf60fuk8z44ri6,3q79te@example.com,Finance Manager,2024-09-08,False
003_hjohdgp6ca6oog,001_6c9dqab5qqxrzk,ca6oog@example.com,Product Lead,2025-07-21,False
003_zu3zm1gxx2qrbp,001_rrhpwsqx2n0xba,x2qrbp@example.com,Finance Manager,2023-01-21,False
003_eytfybjftge2u9,001_v2ty5xg9rs3vis,tge2u9@example.com,Finance Manager,2024-06-19,False
003_porbgvf2sll2w6,001_jeb7517y5eatjq,sll2w6@example.com,VP Ops,2023-02-09,False
003_iz7137cndgjdf3,001_iceq6qekiurls8,dgjdf3@example.com,CTO,2023-02-28,False
003_crnmaf07wp23wj,001_qrk7b5crgbb7uq,wp23wj@example.com,Engineer,2025-09-12,False
003_5thneoez7y2ixq,001_m8ibaw8vn6hnb3,7y2ixq@example.com,Director,2024-10-18,False
003_17a81im5zdkkxu,001_uouv8uh8e38mi7,zdkkxu@example.com,Analyst,2023-09-05,False
003_6bxnr09l45pz1r,001_3dntkakswejkyz,45pz1r@example.com,VP Ops,2025-03-27,False
003_epixtblm5aj3i9,001_8h755n7te4hx4v,5aj3i9@example.com,Analyst,2024-11-20,False
003_ywye11gmg4uvly,001_l1rmztb4z563te,g4uvly@example.com,Head of Data,2025-03-19,False
003_quojh4n5wtquhh,001_34v4k38gqgd1x6,wtquhh@example.com,Director,2023-05-28,False
003_7flnlt37jrsmvc,001_fdots6hqnxg5a7,jrsmvc@example.com,CTO,2023-10-20,False
003_gmual3361mgvhe,001_o9w61434s63b40,1mgvhe@example.com,Product Lead,2024-08-01,False
003_ol0t5w72bi2z7s,001_yu9dxtebya8jxq,bi2z7s@example.com,CTO,2024-06-11,False
003_f1nkbxp84zsakg,001_dru6spcv2whelp,4zsakg@example.com,VP Ops,2024-02-26,False
003_qkpp7yfjinex6i,001_hgvgrne76hoxow,inex6i@example.com,Head of Data,2023-09-12,False
003_4j2irm3qpt7699,001_xymzlafsqgl5x0,pt7699@example.com,Analyst,2024-06-08,False
003_60qsewl5whra0o,001_ylgns8r9fjqcwi,whra0o@example.com,Director,2025-05-13,False
003_1kvqqr01tmt1u6,001_f9c6j1qzfg60mp,tmt1u6@example.com,Head of Data,2023-07-28,False
003_usdq1l0vcpg4ew,001_3dntkakswejkyz,cpg4ew@example.com,Product Lead,2025-11-30,False
003_qgngy6xx2ijpqi,001_1jf3gntem53efp,2ijpqi@example.com,VP Ops,2025-02-22,False
003_2en8il0gktxzvu,001_25v82tdvqw84tz,ktxzvu@example.com,CTO,2024-07-31,False
003_8esy8hif678kia,001_4tep9dtxxop52n,678kia@example.com,Finance Manager,2024-01-20,False
003_dawoo7zbi25wa5,001_xlo73aq07s3no8,i25wa5@example.com,CTO,2025-03-18,False
003_4u2cnd3aurfooe,001_36luyx229e9nlm,urfooe@example.com,Finance Manager,2024-07-10,False
003_oehz944gx51v7j,001_02ylge9r1d9elu,x51v7j@example.com,Finance Manager,2023-05-27,False
003_zonl71jyjqeqhy,001_zyvpfikqlfuts5,jqeqhy@example.com,VP Ops,2024-04-08,False
003_eiio33lcr35dd3,001_vk8j8y3mimtlzh,r35dd3@example.com,VP Ops,2025-07-14,False
003_ep4lbbyb2h8rvv,001_v2ty5xg9rs3vis,2h8rvv@example.com,Director,2025-09-09,False
003_mt0tjaq673xm84,001_gnsxy5g06g1sbi,73xm84@example.com,Director,2023-08-17,False
003_qi1i5n4ubiptm9,001_afew3phqwb08ux,biptm9@example.com,Director,2023-08-20,False
003_o4a9xmvz9o1zum,001_uvo804wu9djdq1,9o1zum@example.com,Director,2025-05-19,False
003_oae1qysrtjapvi,001_hfw8texddr780z,tjapvi@example.com,Finance Manager,2025-04-26,False
003_fls2stk6awbzgg,001_zotujb1jz4bmef,awbzgg@example.com,Product Lead,2024-02-24,False
003_fwjmziyxk7wb6n,001_56lmnmt11fm4c7,k7wb6n@example.com,Analyst,2023-12-09,False
003_splepo4wq26429,001_98kgphqosmxstr,q26429@example.com,Engineer,2023-05-25,False
003_l262eo7z9mpp37,001_a0xb3z8509h1ax,9mpp37@example.com,Head of Data,2023-10-27,False
003_zvspejo55n7ihr,001_kkb0sdiklzjs83,5n7ihr@example.com,Finance Manager,2025-02-02,False
003_ku54u98w2rd6p5,001_cxgf9rs6cqsksp,2rd6p5@example.com,CTO,2025-03-01,False
003_2madbbnpcv93qa,001_8h755n7te4hx4v,cv93qa@example.com,VP Ops,2023-12-06,False
003_iars7zfzqope9y,001_kdqg0v9w3zuyy2,qope9y@example.com,Director,2023-01-02,False
003_uizsaetx7t5t47,001_ge2laqu2nb2qiw,7t5t47@example.com,Finance Manager,2024-11-05,False
003_38ujxlxa9kleqw,001_8htrlcsjlsihpd,9kleqw@example.com,Product Lead,2023-12-15,False
003_5rsmf6uademiqj,001_ijr42tko3igtex,demiqj@example.com,VP Ops,2024-09-09,False
003_dgmmvkedyjgvyr,001_2mo0lgaja32gp2,yjgvyr@example.com,Analyst,2023-05-28,False
003_1y7u3k490fb7hf,001_52dmfcnsra78u1,0fb7hf@example.com,Director,2024-08-29,False
003_bfpxt38dx6le5f,001_wq7aazsm43hnxu,x6le5f@example.com,Engineer,2024-04-26,False
003_iq1brg4ds9nedc,001_4gkew6gons2drm,s9nedc@example.com,CTO,2023-10-14,False
003_8ogely3d85rvmb,001_27g10klm6ym31w,85rvmb@example.com,Analyst,2024-06-10,False
003_2zmx5sae4vwz79,001_3bwut4rxozri41,4vwz79@example.com,Finance Manager,2023-07-12,False
003_e4gni8lup22ww0,001_m317vkyvmw42tp,p22ww0@example.com,Director,2023-11-11,False
003_a0ty2cwtnz6if8,001_7kjrybmad5hfp7,nz6if8@example.com,CTO,2024-06-16,False
003_jagpdzblscjgrx,001_pgn2v1p67wi9t8,scjgrx@example.com,Product Lead,2025-04-09,False
003_ixwzpkkrh8yo7q,001_a0xb3z8509h1ax,h8yo7q@example.com,Finance Manager,2023-01-09,False
003_s5d7mtb300dif5,001_sf701tpppe4mga,00dif5@example.com,Analyst,2024-10-06,False
003_z3eyez95ptw9mv,001_7kcsqmntdtnrzq,ptw9mv@example.com,Head of Data,2025-07-23,False
003_s5fqo21hwa6nfg,001_cwlzmwp0uxecca,wa6nfg@example.com,Head of Data,2024-11-12,False
003_x8jw0df9xb1ywv,001_ym6k6wnw343dx2,xb1ywv@example.com,Finance Manager,2024-12-16,False
003_kky2lw99psfnqt,001_ronyvxi20lpwu7,psfnqt@example.com,Finance Manager,2024-05-30,False
003_1j0dkns4k6a0vz,001_l4ltfmn32dqsu7,k6a0vz@example.com,Head of Data,2023-05-17,False
003_clnc8l12s5t33w,001_c4j04oh047tz0s,s5t33w@example.com,VP Ops,2025-05-04,False
003_fi2cnlt434ra7t,001_z9fyda5vb7xtgj,34ra7t@example.com,Finance Manager,2024-02-23,False
003_i7zqoj5by28wrb,001_gpctj29fze6utn,y28wrb@example.com,Engineer,2025-07-07,False
003_0vchrkrvgmz9pr,001_70uucop8tllx2m,gmz9pr@example.com,VP Ops,2025-08-05,False
003_hs1d3dftnssag9,001_z9fvlq2x5wyuba,nssag9@example.com,Analyst,2023-09-08,False
003_81qrgvpy96xbg8,001_vu85owg9p02qf3,96xbg8@example.com,Director,2025-05-11,False
003_q9t64z6owx2zpx,001_mvu94200rf864l,wx2zpx@example.com,Finance Manager,2023-05-30,False
003_xrvscv6msb1iio,001_02ylge9r1d9elu,sb1iio@example.com,Finance Manager,2024-09-25,False
003_ubbpf9c71x44yo,001_t9633syr9ubyaq,1x44yo@example.com,Engineer,2023-03-31,False
003_yjthvk66jg6txl,001_x7j4v03sddvk17,jg6txl@example.com,Analyst,2023-02-25,False
003_u5p58lueuija75,001_expy3en7t0n9qj,uija75@example.com,VP Ops,2023-12-09,False
003_2fq3ig0fl9k5bm,001_l1isqdsft27hdu,l9k5bm@example.com,Finance Manager,2023-10-22,False
003_gwix4hc8qd4d11,001_f2vmiz2v5qiskn,qd4d11@example.com,Analyst,2023-04-30,False
003_z0obhmgud5vbwn,001_mksf3o7sxw48pp,d5vbwn@example.com,Director,2023-05-02,False
003_p6aki2rb27qtk4,001_k5oclhhjblxic6,27qtk4@example.com,Product Lead,2023-12-29,False
003_4x6bgdvt8gjypb,001_zhx9jj2scykobi,8gjypb@example.com,Finance Manager,2023-12-12,False
003_tkicphohdoou4d,001_biu5pulh75jpgg,doou4d@example.com,Head of Data,2023-03-12,False
003_mqopdwguxs1c71,001_1jf3gntem53efp,xs1c71@example.com,Product Lead,2023-02-22,False
003_o4vdhrqksb3b2u,001_p2glgdkmawuiyj,sb3b2u@example.com,Director,2025-05-06,False
003_scv21qau9foxmd,001_zyvpfikqlfuts5,9foxmd@example.com,Analyst,2023-03-09,False
003_lq37g4q5cbnz8v,001_8ku2y2qqmacw4u,cbnz8v@example.com,Engineer,2023-10-31,False
003_2ioxoy47kx9xx0,001_25v82tdvqw84tz,kx9xx0@example.com,Director,2023-03-12,False
003_0ul7mm1ofkccfm,001_lviyfhlaaddy6k,fkccfm@example.com,Analyst,2025-08-26,False
003_wiw7pn1suuxnle,001_o8ylhb3k8q1hih,uuxnle@example.com,Director,2025-12-24,False
003_rjdch3e8i5atel,001_25v82tdvqw84tz,i5atel@example.com,VP Ops,2024-09-28,False
003_opa8gbtjlw6jyd,001_61k725v826m7wu,lw6jyd@example.com,Product Lead,2024-07-15,False
003_bs5ks5pzs4gwmp,001_f802refocxo162,s4gwmp@example.com,Head of Data,2025-05-23,False
003_zg130bm8heokqo,001_98kgphqosmxstr,heokqo@example.com,Product Lead,2023-03-25,False
003_hnmuuyqlsvem26,001_8htrlcsjlsihpd,svem26@example.com,Product Lead,2025-02-26,False
003_vwc02xzz0b40lm,001_i8mgk0ixf6cgkv,0b40lm@example.com,Product Lead,2023-08-29,False
003_hs9uxtwusdee56,001_m7q8p4446evehl,sdee56@example.com,CTO,2023-03-08,False
003_hndckt6wtzum42,001_deq89mf6a5syjl,tzum42@example.com,Engineer,2025-11-14,False
003_3gyi3gkiv4l1j9,001_6kc6mz3ivt23rt,v4l1j9@example.com,Product Lead,2024-02-10,False
003_gr478ldnzmlm35,001_9bofh4lpbmrcco,zmlm35@example.com,Product Lead,2023-06-01,False
003_6eqkrw8hu19zrf,001_fd23v2prk3w799,u19zrf@example.com,Engineer,2024-01-16,False
003_2t9s6ty1lidxuf,001_xmqo2r87fi5m60,lidxuf@example.com,CTO,2025-03-19,False
003_wg0homa4jaf3hj,001_77bd1pixexm0rm,jaf3hj@example.com,Product Lead,2023-10-24,False
003_qwspj8ck399nbr,001_z9fyda5vb7xtgj,399nbr@example.com,Finance Manager,2024-04-23,False
003_7ew04fa6rgeh4k,001_i8mgk0ixf6cgkv,rgeh4k@example.com,Director,2023-01-24,False
003_ec2asxbssxb3i8,001_3dntkakswejkyz,sxb3i8@example.com,Director,2025-07-15,False
003_o7yy2y61h0fsx9,001_tov7nub14tnq7x,h0fsx9@example.com,Product Lead,2025-01-26,False
003_72huysitmdle16,001_hfw8texddr780z,mdle16@example.com,CTO,2023-06-06,False
003_uimeb3uh8izb3e,001_3tz1kvms5vz7dx,8izb3e@example.com,Engineer,2023-07-12,False
003_tz6aic0ccmh8xk,001_8h755n7te4hx4v,cmh8xk@example.com,Director,2024-04-02,False
003_087hbdpey6je8b,001_vk8j8y3mimtlzh,y6je8b@example.com,VP Ops,2025-08-14,False
003_umqij0vsc0mggk,001_cp0it78y3g1cdb,c0mggk@example.com,Finance Manager,2023-10-07,False
003_qihmtp726oj8gc,001_vf5m3tggce9xqi,6oj8gc@example.com,Finance Manager,2025-06-23,False
003_yzf7i4zltvqeex,001_qng6wpe7ldt1ww,tvqeex@example.com,Director,2024-08-07,False
003_tm7p5w84kpgtvr,001_fgmec4rk2p34fp,kpgtvr@example.com,Finance Manager,2025-11-02,False
003_1re0r41wu5m27q,001_vu85owg9p02qf3,u5m27q@example.com,Product Lead,2024-03-22,False
003_sk181awl3n5stz,001_uouv8uh8e38mi7,3n5stz@example.com,Engineer,2023-09-13,False
003_ikqigxp8iv5mhr,001_h9nzvmq74f1e7f,iv5mhr@example.com,CTO,2025-02-15,False
003_v56mhc71qu4z80,001_dbszfh2xyp3kwl,qu4z80@example.com,VP Ops,2025-04-21,False
003_4aymg5za4fba77,001_e6elbmac4oks43,4fba77@example.com,Engineer,2025-10-29,False
003_lrbfccv7y53cc8,001_4tep9dtxxop52n,y53cc8@example.com,CTO,2025-02-13,False
003_e1un576xr6zage,001_bf67b7efvppv6s,r6zage@example.com,Head of Data,2023-12-14,False
003_dshvun2q3xeclv,001_vdb00p764noxoe,3xeclv@example.com,Engineer,2024-10-30,False
003_nsgdgrx4adioag,001_9bofh4lpbmrcco,adioag@example.com,Analyst,2024-02-14,False
003_fbq63utuljwfcg,001_9fvrqx7519g1po,ljwfcg@example.com,Finance Manager,2025-06-28,False
003_isbm2mnso5uhr6,001_o8ylhb3k8q1hih,o5uhr6@example.com,Engineer,2023-05-25,False
003_jd9autc9nhndo6,001_fgmec4rk2p34fp,nhndo6@example.com,Analyst,2023-07-31,False
003_k6akswkfkv4ayj,001_2eh4s2z0g1de0q,kv4ayj@example.com,VP Ops,2023-10-22,False
003_go37l1egq501s9,001_bgctrwpvi8gmb6,q501s9@example.com,Finance Manager,2023-05-12,False
003_jlxobllixebh5f,001_thk5iw7ynnw58o,xebh5f@example.com,Analyst,2023-08-28,False
003_liuga0wwq2bb3a,001_lc4m438xx4tp8o,q2bb3a@example.com,Finance Manager,2025-10-10,False
003_4e0m2j2u7v7lae,001_vf5m3tggce9xqi,7v7lae@example.com,Director,2024-02-03,False
003_97bgpfnv8jxu9m,001_v5y8oggeusihwl,8jxu9m@example.com,CTO,2023-11-30,False
003_xhboxqe7evf4dn,001_c8hrkzx84n9nvt,evf4dn@example.com,VP Ops,2023-05-13,False
003_xut3nb5yij2wvr,001_l3pdysy7bmgl3q,ij2wvr@example.com,Engineer,2024-09-20,False
003_738pfd5q3b3wqn,001_515utoyizzl4kw,3b3wqn@example.com,Product Lead,2023-10-08,False
003_memkxd1j14n46k,001_31zv9t4xf79v4i,14n46k@example.com,VP Ops,2023-12-16,False
003_jwt0ydb4w734xv,001_hg282igcgl5oo3,w734xv@example.com,Director,2024-05-13,False
003_hck4t15o0xnlh4,001_9nzwzz2pcu3h2a,0xnlh4@example.com,CTO,2024-04-20,False
003_7hbp45iz2uo1pm,001_70uucop8tllx2m,2uo1pm@example.com,VP Ops,2023-10-17,False
003_she0rjth1a5j8x,001_70uucop8tllx2m,1a5j8x@example.com,VP Ops,2025-03-18,False
003_f8c7ij1i65i82o,001_71l61rww6d5rtj,65i82o@example.com,Finance Manager,2025-02-28,False
003_vi4hn4s07ykrt0,001_26wfgoxnb3hp2l,7ykrt0@example.com,VP Ops,2024-04-30,False
003_s6nuah4fxok7f9,001_8nw6skg0793oe1,xok7f9@example.com,Analyst,2024-07-16,False
003_xdpws0zvchxm9b,001_zat57f7wq5f4uh,chxm9b@example.com,Product Lead,2024-03-11,False
